Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-9.473684210526315,5
20,-8.5,5
21,-8.095238095238095,5
22,-7.7272727272727275,5
23,-7.826086956521739,5
24,-7.5,5
25,-7.6,5
26,-7.6923076923076925,5
27,-7.777777777777778,5
28,-7.857142857142857,5
29,-7.931034482758621,5
30,-8.0,5
31,-8.064516129032258,5
32,-8.125,5
33,-8.181818181818182,5
34,-8.235294117647058,5
35,-8.285714285714286,5
36,-8.055555555555555,5
37,-8.108108108108109,5
38,-8.157894736842104,5
39,-8.205128205128204,5
40,-8.25,5
41,-8.292682926829269,5
42,-8.333333333333334,5
43,-8.372093023255815,5
44,-8.409090909090908,5
45,-8.444444444444445,5
46,-8.478260869565217,5
47,-8.51063829787234,5
48,-8.333333333333334,5
49,-8.36734693877551,5
50,-8.4,5
51,-8.431372549019608,5
52,-8.461538461538462,5
53,-8.49056603773585,5
54,-8.518518518518519,5
55,-8.545454545454545,5
56,-8.571428571428571,5
57,-8.596491228070175,5
58,-8.620689655172415,5
59,-8.474576271186441,5
60,-8.5,5
61,-8.524590163934427,5
62,-8.548387096774194,5
63,-8.571428571428571,5
64,-8.4375,5
65,-8.461538461538462,5
66,-8.484848484848484,5
67,-8.507462686567164,5
68,-8.529411764705882,5
69,-8.55072463768116,5
70,-8.571428571428571,5
71,-8.591549295774648,5
72,-8.61111111111111,5
73,-8.493150684931507,5
74,-8.378378378378379,5
75,-8.4,5
76,-8.421052631578947,5
77,-8.441558441558442,5
78,-8.461538461538462,5
79,-8.481012658227849,5
80,-8.5,5
81,-8.518518518518519,5
82,-8.536585365853659,5
83,-8.55421686746988,5
84,-8.571428571428571,5
85,-8.588235294117647,5
86,-8.604651162790697,5
87,-8.620689655172415,5
88,-8.636363636363637,5
89,-8.651685393258427,5
90,-8.666666666666666,5
91,-8.68131868131868,5
92,-8.695652173913043,5
93,-8.709677419354838,5
94,-8.72340425531915,5
95,-8.736842105263158,5
96,-8.645833333333334,5
97,-8.65979381443299,5
98,-8.673469387755102,5
99,-8.686868686868687,5
100,-8.7,5
101,-8.712871287128714,5
102,-8.627450980392156,5
103,-8.640776699029127,5
104,-8.557692307692308,5
105,-8.571428571428571,5
106,-8.584905660377359,5
107,-8.504672897196262,5
108,-8.518518518518519,5
109,-8.440366972477063,5
110,-8.363636363636363,5
111,-8.288288288288289,5
112,-8.303571428571429,5
113,-8.31858407079646,5
114,-8.333333333333334,5
115,-8.26086956521739,5
116,-8.189655172413794,5
117,-8.034188034188034,10
118,-8.05084745762712,10
119,-8.067226890756302,10
120,-8.0,10
121,-7.933884297520661,10
